name,code,country,latitude,longitude,elevation,style,runway_direction,runway_length,runway_width,frequency,description
Obstacle,Obsta,PL,52.54448333333333,18.486333333333334,99.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.420516666666664,23.5235,310.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.1402,20.424616666666665,81.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.134166666666665,18.8813,193.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.1288,18.881883333333334,212.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.140483333333336,18.882816666666667,209.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.14436666666667,18.88475,195.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.88053333333333,18.242066666666666,118.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.7492,18.5172,76.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.747816666666665,18.516933333333334,80.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.05481666666667,23.51765,230.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.05755,23.518533333333334,226.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.04633333333334,19.9379,132.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.82606666666667,22.347383333333333,122.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.131683333333335,19.421466666666667,126.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.918033333333334,17.24405,155.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.917683333333336,17.24795,150.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.532583333333335,18.788516666666666,79.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.62786666666667,19.696483333333333,177.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.18496666666667,22.97005,227.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.376666666666665,17.636416666666666,104.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.5661,18.59565,133.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.04615,18.150433333333332,208.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.760466666666666,20.126383333333333,105.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.23908333333333,16.43701666666667,122.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.23746666666667,16.4361,133.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.30661666666666,18.4933,97.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.55891666666667,18.61285,91.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.55795,18.6129,95.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.5606,18.614416666666667,82.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.559066666666666,18.614833333333333,93.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.20455,17.98656666666667,87.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.63171666666667,18.60945,95.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.8253,18.05765,128.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.3985,18.04215,173.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.150533333333335,17.964466666666667,84.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.02268333333333,20.061183333333332,134.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.262766666666664,20.552716666666665,228.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.37765,19.42945,233.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.37596666666666,19.430083333333332,222.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.596916666666665,18.740333333333332,97.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.3769,18.684533333333334,92.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.37806666666667,18.6931,81.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.37578333333333,18.688583333333334,88.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.66043333333333,18.6037,150.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.661183333333334,18.602833333333333,142.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.66073333333333,18.601366666666667,150.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.52721666666667,19.781316666666665,170.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.914883333333336,21.030166666666666,129.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.90326666666667,21.0444,109.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.92,21.01493333333333,106.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.91461666666667,21.013683333333333,97.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.9052,21.037983333333333,108.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.10105,17.5652,72.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.106233333333336,17.575383333333335,64.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.0976,17.568633333333334,69.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.839533333333335,17.436666666666667,146.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.84036666666667,17.42953333333333,163.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.84563333333333,17.418683333333334,162.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.842533333333336,17.4218,147.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.841,17.43855,154.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.651666666666664,17.861333333333334,148.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.776983333333334,19.157533333333333,144.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.67028333333333,18.653783333333333,86.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.67203333333333,18.652666666666665,87.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.63721666666667,16.886283333333335,98.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.634033333333335,16.881516666666666,98.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.64235,16.88765,93.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.60975,17.887316666666667,123.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.61586666666667,17.88395,123.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.61268333333334,17.88495,118.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.61136666666667,17.869983333333334,127.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.45238333333333,18.766750000000002,104.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.456133333333334,18.76665,104.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.45485,18.766283333333334,113.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.453383333333335,18.766533333333335,99.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.87213333333333,18.63005,133.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.051116666666665,20.6465,142.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.39745,18.050483333333332,176.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.39758333333333,18.04695,169.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.38681666666667,18.68948333333333,89.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.472766666666665,19.160383333333332,132.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.27903333333333,18.936233333333334,117.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.6301,19.687683333333332,141.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.68116666666667,17.539883333333332,164.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.33688333333333,16.0879,74.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.254983333333335,18.9864,11.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.342283333333334,19.11195,249.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.445283333333336,17.9131,176.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.76821666666667,18.866866666666667,90.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.3089,18.927583333333335,170.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.63916666666667,19.676133333333333,174.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.56225,18.615966666666665,154.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.569716666666665,18.593933333333332,162.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.964083333333335,18.84625,244.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.96468333333333,18.842683333333333,264.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.465,23.641716666666667,213.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.45726666666667,23.6434,255.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.460483333333336,23.610083333333332,231.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.46778333333334,23.641216666666665,222.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.45793333333334,23.62515,245.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.457766666666664,23.610433333333333,270.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.45596666666667,23.578516666666665,251.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.45883333333333,23.592666666666666,225.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.46255,23.569166666666668,230.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.46035,23.642516666666666,221.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.45896666666667,23.567333333333334,281.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.798383333333334,18.70525,84.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.79585,18.70345,88.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.799216666666666,18.70585,89.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.13615,17.92885,86.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.13575,17.93735,109.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.1292,18.843066666666665,206.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.5325,18.991016666666667,142.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.87186666666667,18.99475,267.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.042033333333336,18.125066666666665,222.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.047133333333335,18.1332,202.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.0416,18.110833333333332,235.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.04298333333333,18.102083333333333,233.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.619416666666666,21.48815,196.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.31945,17.385183333333334,101.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.319,17.38945,96.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.19648333333333,19.445933333333333,106.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.19525,19.433233333333334,123.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.199783333333336,19.429683333333333,106.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.1972,19.43945,103.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.202216666666665,19.45945,109.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.204633333333334,19.454266666666665,105.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.20053333333333,19.4666,105.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.215983333333334,17.490316666666665,95.0,8,,,,,Height: 150 m GND
Obstacle,Obsta,PL,51.9247,16.73775,93.0,8,,,,,Height: 50 m GND
Obstacle,Obsta,PL,51.8411,16.703633333333332,101.0,8,,,,,Height: 150 m GND
Obstacle,Obsta,PL,51.823166666666665,16.682733333333335,101.0,8,,,,,Height: 150 m GND
Obstacle,Obsta,PL,51.82386666666667,16.67345,96.0,8,,,,,Height: 150 m GND
Obstacle,Obsta,PL,52.21855,17.484966666666665,82.0,8,,,,,Height: 150 m GND
Obstacle,Obsta,PL,51.27155,18.52851666666667,184.0,8,,,,,Height: 150 m GND
Obstacle,Obsta,PL,51.2672,18.52495,174.0,8,,,,,Height: 150 m GND
Obstacle,Obsta,PL,51.842983333333336,16.710533333333334,110.0,8,,,,,Height: 150 m GND
Obstacle,Obsta,PL,52.311,20.137933333333333,95.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,52.312333333333335,20.13906666666667,100.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,52.30981666666667,20.13695,101.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.18996666666666,22.851416666666665,217.0,8,,,,,Height: 103 m GND
Obstacle,Obsta,PL,52.01715,18.560783333333333,103.0,8,,,,,Height: Unknown
Elektrownia wiatrowa Turzno 27,Elekt,PL,52.83295,18.76475,93.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.9512,19.2519,76.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.94195,19.195666666666668,72.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.95805,19.2887,53.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.985883333333334,19.2561,50.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.9362,19.201416666666667,81.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.9634,19.28175,41.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.948033333333335,19.253733333333333,72.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.94245,19.1883,70.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.992866666666664,19.245,43.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.939433333333334,19.197816666666668,76.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.934533333333334,19.20605,74.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.98478333333333,19.260583333333333,52.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.97638333333333,19.260316666666668,49.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.95603333333333,19.231333333333332,71.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.95751666666666,19.265466666666665,62.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.961616666666664,19.225766666666665,71.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.994366666666664,19.239933333333333,28.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.942566666666664,19.2135,92.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.94725,19.226216666666666,76.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.96675,19.278566666666666,32.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.95415,19.249716666666668,64.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.95145,19.23225,72.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.961483333333334,19.285883333333334,58.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.990716666666664,19.25055,58.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.9783,19.2963,25.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.95455,19.268183333333333,73.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.95105,19.27065,66.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.3677,14.820566666666666,67.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.368183333333334,14.818783333333334,68.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.62335,17.579233333333335,148.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.635416666666664,17.568416666666668,148.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.630716666666665,17.5656,152.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.6246,17.561383333333332,141.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.627633333333335,17.56965,154.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.18,19.534183333333335,204.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.339616666666664,17.001066666666667,124.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.3451,16.9944,122.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.3482,16.989866666666668,124.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.3434,17.00015,123.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.34251666666667,16.988683333333334,126.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.34096666666667,16.994716666666665,126.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.48,18.4053,95.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.479683333333334,18.403033333333333,95.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.65615,18.59175,91.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.38256666666667,16.410166666666665,12.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.2474,18.4623,95.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.247,18.458433333333332,111.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.245583333333336,18.46105,109.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.91105,17.638616666666667,133.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.909,17.637816666666666,132.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.73531666666667,18.956133333333334,56.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.54501666666667,18.788116666666667,91.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.26906666666667,18.918066666666668,116.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.94605,16.369583333333335,84.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.946933333333334,16.36835,84.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.94495,16.3688,86.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.5233,16.8195,16.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.53553333333333,16.8355,19.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.52645,16.826716666666666,22.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.53055,16.8297,17.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.362183333333334,18.6964,82.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.36011666666667,18.682183333333334,78.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.54193333333333,18.542483333333333,98.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.53958333333333,18.545733333333335,101.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.3586,18.20635,90.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.35515,18.208666666666666,97.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.359233333333336,18.225616666666667,95.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.355666666666664,18.2303,94.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.48041666666666,18.40795,93.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.6695,18.26395,79.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.667366666666666,18.257783333333332,78.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.495133333333335,16.956633333333333,39.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.49411666666666,16.96465,50.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.51721666666667,18.52875,100.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.51611666666667,15.914933333333334,90.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.36783333333333,14.816866666666666,64.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.00468333333333,19.26615,38.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.105666666666664,19.14395,103.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.744283333333335,17.29925,86.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.13036666666667,21.189933333333332,91.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.142583333333334,14.790466666666667,48.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.30693333333333,16.471216666666667,37.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.30875,16.490916666666667,32.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.313116666666666,16.491366666666668,44.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.31451666666667,16.481016666666665,41.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.312733333333334,16.4735,42.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.53035,18.853083333333334,102.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.58656666666667,18.401,169.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.87271666666667,19.413733333333333,210.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.065416666666664,15.110633333333332,14.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.06738333333333,15.112016666666667,12.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.3764,18.858816666666666,102.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.369083333333336,18.927033333333334,108.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.345483333333334,18.884833333333333,97.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.34575,18.8783,101.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.35151666666667,18.88235,109.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.4901,16.944166666666668,51.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.792966666666665,19.059966666666668,254.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.012,18.71505,63.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.013666666666666,18.719083333333334,70.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.76618333333333,16.420466666666666,117.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.84686666666666,20.503866666666667,143.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.834466666666664,20.552833333333332,98.0,8,,,,,Height: Unknown
Spark Budynek A,Spark,PL,52.23596666666667,20.979883333333333,106.0,8,,,,,Height: 130 m GND
Radiowy Ośrodek Nadawczy Zamość *Feliksówka*,Radio,PL,50.60823333333333,23.260766666666665,328.0,8,,,,,Height: 90 m GND
RTCN Raszyn,RTCN,PL,52.07265,20.883916666666668,118.0,8,,,,,Height: 335 m GND
Radiowo-Telewizyjny Ośrodek Nadawczy,Radio,PL,51.24393333333333,22.544933333333333,210.0,8,,,,,Height: 104 m GND
Warsaw Spire,Warsa,PL,52.23218333333333,20.984083333333334,112.0,8,,,,,Height: 180 m GND
Łódzki Ośrodek Geodezji,Łódzk,PL,51.76845,19.4626,233.0,8,,,,,Height: 70 m GND
Wieża widokowa Baborów,Wieża,PL,50.15228333333334,17.99625,230.0,8,,,,,Height: 249 m GND
Obstacle,Obsta,PL,52.227333333333334,18.638716666666667,121.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.27928333333333,16.42,28.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.281616666666665,16.4266,35.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.31765,16.491383333333335,49.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.27603333333333,16.44335,54.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.34011666666667,16.52715,29.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.53633333333333,19.060316666666665,168.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.3713,18.65885,112.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.37408333333333,18.6572,101.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.0416,16.52091666666667,74.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.04313333333333,16.524983333333335,73.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.042966666666665,16.516716666666667,70.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.795833333333334,16.8208,73.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.4961,16.9982,43.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.48928333333333,16.99876666666667,46.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.4928,16.999766666666666,52.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.493833333333335,16.992,43.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.96925,17.201066666666666,90.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.97828333333333,17.18185,91.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.690416666666664,17.7307,82.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.68435,17.741266666666668,84.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.669916666666666,17.738533333333333,82.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.057516666666665,15.6981,39.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.0613,15.708283333333334,37.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.05968333333333,15.69275,38.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.05938333333334,15.7031,40.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.061416666666666,15.698116666666667,40.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.33915,16.557716666666668,41.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.327533333333335,16.543966666666666,51.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.32065,16.559533333333334,46.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.311233333333334,16.55375,47.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.341883333333335,16.55075,30.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.330016666666666,16.53885,36.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.30915,16.550733333333334,43.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.30246666666667,16.568433333333335,38.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.307,16.556433333333334,39.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.30481666666667,16.562183333333333,50.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.30585,16.57205,47.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.310066666666664,16.56055,32.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.3079,16.566366666666667,44.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.30158333333333,16.558216666666667,35.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.318333333333335,16.565183333333334,51.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.32706666666667,16.581966666666666,55.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.01703333333333,18.6469,108.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.0319,18.64435,112.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.017466666666664,18.65363333333333,104.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.027683333333336,18.65285,97.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.014116666666666,18.644116666666665,88.0,8,,,,,Height: Unknown
