name,code,country,latitude,longitude,elevation,style,runway_direction,runway_length,runway_width,frequency,description
GIŻYCKO-MAZURY RESIDENCE,EPGM,PL,54.00555,21.821383333333333,125.0,2,290,860.0m,50.0m,,
GLIWICE,EPGL,PL,50.267383333333335,18.672783333333335,257.0,2,258,700.0m,100.0m,118.260,
GDAŃSK IM. LECHA WAŁESY,EPGD,PL,54.376666666666665,18.469716666666667,135.0,5,293,2800.0m,45.0m,118.105,
GIŻE,EPGE,PL,53.983333333333334,22.402216666666668,152.0,2,316,780.0m,50.0m,118.055,
GNIEWSKIE POLE,,PL,53.79055,18.862216666666665,11.0,2,214,250.0m,20.0m,,
GOCZAŁKOWICE,,PL,49.952216666666665,18.94195,265.0,2,256,545.0m,15.0m,,
GOLĘDZINÓW,,PL,51.26278333333333,16.921383333333335,139.0,2,280,500.0m,20.0m,122.700,
GÓRKI,,PL,50.3725,21.289716666666667,157.0,2,335,690.0m,34.0m,,
GÓROWO IŁAWIECKIE,,PL,54.275,20.49445,110.0,2,220,350.0m,10.0m,,
GOTARTOWICE K/RYBNIKA,EPRG,PL,50.07055,18.628883333333334,255.0,2,086,600.0m,100.0m,122.405,
GRABOWIEC,,PL,51.901383333333335,15.270283333333333,101.0,2,298,700.0m,25.0m,,
GOZDNICA,,PL,51.46055,15.105833333333333,137.0,2,039,1000.0m,25.0m,,
GRĘBISZEW,,PL,52.117783333333335,21.511116666666666,134.0,2,199,427.0m,45.0m,,
GRĄDY,EPGY,PL,52.836983333333336,21.777633333333334,124.0,5,270,804.0m,24.0m,,
GRÓJEC-SŁOMCZYN,,PL,51.85055,20.936383333333332,141.0,2,303,800.0m,50.0m,,
GRYŹLINY,EPGR,PL,53.60805,20.34945,158.0,2,299,800.0m,60.0m,119.700,
HAJNÓWKA-CZYŻE,EPCH,PL,52.78445,23.430833333333332,155.0,2,270,650.0m,30.0m,,
HERBURTOWO,,PL,52.90221666666667,16.12945,40.0,2,267,1100.0m,90.0m,130.300,
HORIZON AIR UŁĘŻ,EPUL,PL,51.6161,22.095066666666668,180.0,0,,,,,
INOWROCŁAW,EPIR,PL,52.82833333333333,18.330283333333334,85.0,2,232,2000.0m,60.0m,120.025,
IWONICZ,EPIW,PL,49.6579,21.817416666666666,297.0,0,297,949.0m,30.0m,,
JARYSZEWO,,PL,52.69278333333333,16.606666666666666,61.0,2,287,1040.0m,62.0m,130.300,
JASTARNIA,,PL,54.71083333333333,18.643883333333335,3.0,2,301,660.0m,34.0m,125.550,
INOWROCŁAW,EPIN,PL,52.80635,18.285783333333335,85.0,2,078,760.0m,100.0m,120.810,
